"account_id","account_code","account_name_ar","account_name_en","account_major","account_start_money","insert_uid","insert_date","update_uid","update_date"
"1","1","شجرة الحسابات","","0","0.0000","1","9/4/2010 12:06:40 AM","1","9/4/2010 12:21:31 AM"
"2","2","أصول","","1","0.0000","1","9/4/2010 12:09:50 AM","1","9/6/2010 3:37:00 PM"
"3","3","خصوم","","1","0.0000","1","9/4/2010 12:35:43 AM","1","9/6/2010 3:39:40 PM"
"4","4","الايرادات","","1","0.0000","1","9/4/2010 12:43:07 AM","1","9/4/2010 5:49:39 PM"
"5","5","مصروفات","","1","0.0000","1","9/4/2010 12:43:31 AM","","9/4/2010 12:43:31 AM"
"6","6","النقدية","","2","0.0000","1","9/4/2010 12:45:13 AM","","9/4/2010 12:45:13 AM"
"7","7","حسابات البنوك","","2","0.0000","1","9/4/2010 12:45:33 AM","","9/4/2010 12:45:33 AM"
"8","8","مدينون و أرصدة مدينة","","2","0.0000","1","9/4/2010 12:46:09 AM","","9/4/2010 12:46:09 AM"
"9","9","حسابات العملاء","","2","0.0000","1","9/4/2010 12:46:31 AM","","9/4/2010 12:46:31 AM"
"10","10","محفظة الشيكات الواردة","","2","0.0000","1","9/4/2010 12:46:54 AM","","9/4/2010 12:46:54 AM"
"11","11","المخزون","","2","0.0000","1","9/4/2010 12:47:10 AM","","9/4/2010 12:47:10 AM"
"12","12","أصول ثابتة","","2","0.0000","1","9/4/2010 12:47:26 AM","","9/4/2010 12:47:26 AM"
"13","13","أصول طويلة الاجل (اخرى)","","2","0.0000","1","9/4/2010 12:48:05 AM","","9/4/2010 12:48:05 AM"
"14","14","الفيزا","","2","0.0000","1","9/4/2010 12:48:23 AM","","9/4/2010 12:48:23 AM"
"15","15","النقدية فى نقطة البيع","","6","0.0000","1","9/4/2010 12:49:05 AM","","9/4/2010 12:49:05 AM"
"16","16","النقدية بالخزينة","","6","0.0000","1","9/4/2010 12:49:23 AM","","9/4/2010 12:49:23 AM"
"17","17","حساب بنك مصر","","7","0.0000","1","9/4/2010 12:50:14 AM","","9/4/2010 12:50:14 AM"
"18","18","حساب بنك القاهرة","","7","0.0000","1","9/4/2010 12:50:29 AM","","9/4/2010 12:50:29 AM"
"19","19","حساب بنك الاسكندرية","","7","0.0000","1","9/4/2010 12:50:46 AM","","9/4/2010 12:50:46 AM"
"20","20","حساب البنك الاهلى","","7","0.0000","1","9/4/2010 12:51:02 AM","","9/4/2010 12:51:02 AM"
"21","21","مصروفات مدفوعة مقدما","","8","0.0000","1","9/4/2010 12:52:04 AM","","9/4/2010 12:52:04 AM"
"22","22","سلفيات عاملين","","8","0.0000","1","9/4/2010 12:52:22 AM","","9/4/2010 12:52:22 AM"
"23","23","عملاء افراد","","9","0.0000","1","9/4/2010 12:52:36 AM","","9/4/2010 12:52:36 AM"
"24","24","عملاء شركات ومؤسسات","","9","0.0000","1","9/4/2010 12:53:00 AM","","9/4/2010 12:53:00 AM"
"25","25","شيكات واردة","","10","0.0000","1","9/4/2010 12:53:18 AM","","9/4/2010 12:53:18 AM"
"26","26","شيكات تم ارسالها للتحصيل","","10","0.0000","1","9/4/2010 12:53:39 AM","","9/4/2010 12:53:39 AM"
"27","27","شيكات مرفوض تحصيلها","","10","0.0000","1","9/4/2010 12:53:58 AM","","9/4/2010 12:53:58 AM"
"28","28","المخزون بالمخازن","","11","0.0000","1","9/4/2010 12:54:32 AM","","9/4/2010 12:54:32 AM"
"29","29","اصناف مشتراه معلقة","","11","0.0000","1","9/4/2010 12:54:50 AM","","9/4/2010 12:54:50 AM"
"30","30","مبانى","","12","0.0000","1","9/4/2010 12:55:02 AM","","9/4/2010 12:55:02 AM"
"31","31","تحسينات","","12","0.0000","1","9/4/2010 12:55:19 AM","","9/4/2010 12:55:19 AM"
"32","32","أثاث","","12","0.0000","1","9/4/2010 12:55:28 AM","","9/4/2010 12:55:28 AM"
"33","33","أجهزة كمبيوتر","","12","0.0000","1","9/4/2010 12:55:41 AM","","9/4/2010 12:55:41 AM"
"34","34","أجهزة ومعدات اخرى","","12","0.0000","1","9/4/2010 12:55:58 AM","","9/4/2010 12:55:58 AM"
"35","35","سيارات ووسائل نقل","","12","0.0000","1","9/4/2010 12:56:13 AM","","9/4/2010 12:56:13 AM"
"36","36","حملات إعلانية","","13","0.0000","1","9/4/2010 12:56:37 AM","","9/4/2010 12:56:37 AM"
"37","37","أخرى","","13","0.0000","1","9/4/2010 12:56:48 AM","","9/4/2010 12:56:48 AM"
"38","38","حساب الفيزا","","14","0.0000","1","9/4/2010 12:57:01 AM","","9/4/2010 12:57:01 AM"
"39","39","تسهيلات بنكية","","3","0.0000","1","9/4/2010 5:23:06 PM","","9/4/2010 5:23:06 PM"
"40","40","الموردين","","3","0.0000","1","9/4/2010 5:23:39 PM","","9/4/2010 5:23:39 PM"
"41","41","دائنون وارصدة مدينة","","3","0.0000","1","9/4/2010 5:24:22 PM","","9/4/2010 5:24:22 PM"
"42","42","مجمع اهلاك الاصول الثابتة","","3","0.0000","1","9/4/2010 5:43:19 PM","","9/4/2010 5:43:19 PM"
"43","43","حقوق الملكية","","3","0.0000","1","9/4/2010 5:44:15 PM","","9/4/2010 5:44:15 PM"
"44","44","محفظة الشيكات الصادرة","","3","0.0000","1","9/4/2010 5:44:34 PM","","9/4/2010 5:44:34 PM"
"45","45","قروض","","39","0.0000","1","9/4/2010 5:45:00 PM","","9/4/2010 5:45:00 PM"
"46","46","حسابات الموردين","","40","0.0000","1","9/4/2010 5:45:22 PM","","9/4/2010 5:45:22 PM"
"47","47","شيكات مرتدة","","40","0.0000","1","9/4/2010 5:45:39 PM","","9/4/2010 5:45:39 PM"
"48","48","مصروفات مستحقة","","41","0.0000","1","9/4/2010 5:45:57 PM","","9/4/2010 5:45:57 PM"
"49","49","دائنون متنوعون","","41","0.0000","1","9/4/2010 5:46:15 PM","","9/4/2010 5:46:15 PM"
"50","50","مجمع اهلاك اثاث","","42","0.0000","1","9/4/2010 5:46:35 PM","","9/4/2010 5:46:35 PM"
"51","51","مجمع اهلاك اجهزة ومعدات","","42","0.0000","1","9/4/2010 5:46:55 PM","","9/4/2010 5:46:55 PM"
"52","52","رأس مال","","43","0.0000","1","9/4/2010 5:47:08 PM","","9/4/2010 5:47:08 PM"
"53","53","جارى الشركاء","","43","0.0000","1","9/4/2010 5:47:23 PM","","9/4/2010 5:47:23 PM"
"54","54","ارباح مرحلة","","43","0.0000","1","9/4/2010 5:47:35 PM","","9/4/2010 5:47:35 PM"
"55","55","شيكات صادرة","","44","0.0000","1","9/4/2010 5:47:50 PM","","9/4/2010 5:47:50 PM"
"56","56","المبيعات","","4","0.0000","1","9/4/2010 5:48:05 PM","","9/4/2010 5:48:05 PM"
"57","57","مبيعات","","56","0.0000","1","9/4/2010 5:53:37 PM","","9/4/2010 5:53:37 PM"
"58","58","ايرادات نشاط اخرى","","4","0.0000","1","9/4/2010 5:53:56 PM","","9/4/2010 5:53:56 PM"
"59","59","خصم نقدى على المشتريات","","58","0.0000","1","9/4/2010 5:54:16 PM","","9/4/2010 5:54:16 PM"
"60","60","خصم اخر","","58","0.0000","1","9/4/2010 5:54:33 PM","","9/4/2010 5:54:33 PM"
"61","61","ايرادات اخرى","","58","0.0000","1","9/4/2010 5:54:48 PM","","9/4/2010 5:54:48 PM"
"62","62","فوائد بنكية - ايرادات","","58","0.0000","1","9/4/2010 5:55:07 PM","","9/4/2010 5:55:07 PM"
"63","63","تكلفة المبيعات","","5","0.0000","1","9/4/2010 5:55:29 PM","","9/4/2010 5:55:29 PM"
"64","64","فوائد بنكية","","5","0.0000","1","9/4/2010 5:55:59 PM","","9/4/2010 5:55:59 PM"
"65","65","خصم نقدى على المبيعات","","5","0.0000","1","9/4/2010 5:56:17 PM","","9/4/2010 5:56:17 PM"
"66","66","اهلاك اصول ثابتة","","5","0.0000","1","9/4/2010 5:56:36 PM","","9/4/2010 5:56:36 PM"
"67","67","رواتب وانتقالات الموظفين","","5","0.0000","1","9/4/2010 5:56:57 PM","","9/4/2010 5:56:57 PM"
"68","68","ايجارات","","5","0.0000","1","9/4/2010 5:57:08 PM","","9/4/2010 5:57:08 PM"
