"company_id","company_code","co_name_ar","co_name_en","mobile","tel","address","deleted","active","insert_date","insert_uid"
"1","1","غير معرفة","NOT AVAILABLE","","","","0","1","3/22/2026 3:15:43 PM","1002"
"2","2","افينتيس فارما","AVENTIS PHARMA","","","","0","1","3/23/2026 10:51:03 AM","1002"
"3","3","رولاب","ROLAB","","","","1","1","2/6/2014 8:04:19 PM","1"
"4","4","لايف سرفيس","LIFE SERVICE","","","","1","1","2/6/2014 8:04:19 PM","1"
"5","5","الصياد","EL-SAYAD","","","","1","1","2/6/2014 8:04:19 PM","1"
"6","6","براون","BRAUN","","","","1","1","2/6/2014 8:04:19 PM","1"
"7","7","الشركة العربية","arommac","","","","1","1","10/10/2018 11:05:04 PM","2"
"8","8","هيلثى","HEALTHY","","","","1","1","2/6/2014 8:04:19 PM","1"
"9","9","اورال بي","ORAL-B","","","","1","1","2/6/2014 8:04:19 PM","1"
"10","10","ايمكو","AMECO","","","","1","1","2/6/2014 8:04:19 PM","1"
"11","11","سيمكس","SEMIX","","","","1","1","2/6/2014 8:04:19 PM","1"
"12","12","فيوتشر لين","FUTUR LINE","","","","1","1","2/6/2014 8:04:19 PM","1"
"13","13","الانصار","AL ANSAR","","","","1","1","2/6/2014 8:04:19 PM","1"
"14","14","بيربيريز","BURBERRYS","","","","1","1","2/6/2014 8:04:19 PM","1"
"15","15","اوريون فارما","ORION PHARMA","","","","1","1","2/6/2014 8:04:19 PM","1"
"16","16","اوركيديا","ORCHIDIA","","","","1","1","2/6/2014 8:04:19 PM","1"
"17","17","بيوجال","BIOGAL","","","","1","1","2/6/2014 8:04:19 PM","1"
"18","18","كابتيك","CAPTEK","","","","1","1","2/6/2014 8:04:19 PM","1"
"19","19","وايدر","WEIDER","","","","1","1","2/6/2014 8:04:19 PM","1"
"20","20","ليدر بيبي","LEADER BABY","","","","1","1","2/6/2014 8:04:19 PM","1"
"21","21","سوناتا","SONATA","","","","1","1","8/1/2016 3:12:47 PM","1"
"22","22","بايجون","BYGON","","","","1","1","2/6/2014 8:04:19 PM","1"
"23","23","نيوك","NUK","","","","0","1","8/2/2016 3:37:59 PM","1"
"24","24","كاريرا","CARRERA","","","","1","1","2/6/2014 8:04:19 PM","1"
"25","25","ليماكو فارمانت","LEMACO PHARMA NET","","","","1","1","2/6/2014 8:04:19 PM","1"
"26","26","بلايتكس","PLYTEX","","","","1","1","2/6/2014 8:04:19 PM","1"
"27","27","شيبريت","CHIBRET","","","","1","1","2/6/2014 8:04:19 PM","1"
"28","28","افينتس هوكست","AVENTIS HAUCHEST","","","","1","1","2/6/2014 8:04:19 PM","1"
"29","29","لوف & كير","LOVE & CARE","","","","1","1","2/6/2014 8:04:19 PM","1"
