"error_id","trans_id","table_id","trans_type","trans","ex","insert_date"
"1","7","0","1","ALTER TABLE Employee ADD numof_customer  Int NULL DEFAULT (0)","Column names in each table must be unique. Column name 'numof_customer' in table 'Employee' is specified more than once.","2/1/2024 3:01:18 PM"
"2","8","0","1","ALTER TABLE Branches_employee_edit ADD emp_show_money  char(1) NULL DEFAULT (0)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"3","9","0","1","ALTER TABLE Branches_employee_edit ADD emp_change_cash_disk  char(1) NULL DEFAULT (0)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"4","10","0","1","ALTER TABLE Branches_employee_edit ADD numof_customer  Int NULL DEFAULT (0)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"5","16","0","1","ALTER TABLE Branches_employee_edit  ADD allaw_sale_credit  char(1) NULL DEFAULT (1)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"6","17","0","1","ALTER TABLE Branches_employee_edit  ADD allaw_un_sale  char(1) NULL DEFAULT (1)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"7","18","0","1","ALTER TABLE Branches_employee_edit  ADD allaw_sale_delivery  char(1) NULL DEFAULT (1)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:18 PM"
"8","19","0","1","UPDATE Branches_employee_edit set allaw_sale_credit='1', allaw_un_sale='1', allaw_sale_delivery ='1'","Invalid object name 'Branches_employee_edit'.","2/1/2024 3:01:18 PM"
"9","40","0","1","ALTER TABLE Branches_employee_edit ADD allaw_save_cash_credit char(1) null DEFAULT (0)","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","2/1/2024 3:01:22 PM"
"10","42","0","1","Update Branches_employee_edit set allaw_save_cash_credit='0'  ","Invalid object name 'Branches_employee_edit'.","2/1/2024 3:01:22 PM"
"11","82","0","1","ALTER TABLE emp_control ADD F27 char(1) null DEFAULT (0)","Column names in each table must be unique. Column name 'F27' in table 'emp_control' is specified more than once.","2/3/2024 8:40:52 PM"
"12","85","0","1","ALTER TABLE Branches_employee_edit ADD allaw_save_cash_credit char(1) null DEFAULT (0)	","Cannot find the object ""Branches_employee_edit"" because it does not exist or you do not have permissions.","3/12/2024 2:55:50 AM"
"13","96","0","1","ALTER TABLE Branches ADD rep_last_emp_date datetime null DEFAULT (getdate())","Column names in each table must be unique. Column name 'rep_last_emp_date' in table 'Branches' is specified more than once.","8/6/2024 5:39:05 PM"
