"f_id","f_code","f_name"
"1","1","نقطة البيع"
"2","2","الخزينة"
"3","3","البنك"
"4","4","مصروفات"
"5","5","مورد"
"6","6","فاتورة شراء"
"7","7","توريدات"
"8","8","مرتجع شراء على فاتورة"
"9","9","مرتجع شراء عام"
"10","10","عميل"
"11","11","فاتورة بيع"
"12","12","مرتجع بيع على فاتورة"
"13","13","مرتجع بيع عام"
"14","14","فرد"
"15","15","موظف"
"16","16","توريد نقدية"
"17","17","مصروفات التشغيل"
"18","18","صرف نقدية"
"19","19","استلام ورقة مالية"
"20","20","صرف ورقة مالية"
"21","21","إقفال الأوراق المالية"
"22","22","الإشعارات"
"23","23","الارصدة الافتتاحية للعملاء"
"24","24","الارصدة الافتتاحية للموردين"
"25","25","تحويلات المخازن"
"26","26","تسوية كميات اصناف"
"27","27","تسليم الدرج"
"28","28","بيع من مرتجع بيع عام"
"29","29","تحويل داخلى"
"30","30","إقفال الشيكات الصادرة نقدى"
"31","31",""
"32","32",""
"33","33",""
"34","34",""
"35","35",""
"36","36",""
"37","37",""
"38","38",""
"39","39",""
"40","40",""
"41","41",""
"42","42",""
"43","43",""
"44","44",""
"45","45",""
"46","46",""
"47","47",""
"48","48",""
"49","49",""
"50","50",""
"51","51",""
"52","52",""
"53","53",""
"54","54",""
"55","55",""
