"pd_id","pd_code","pd_name_ar","pd_name_en","deleted","insert_date","insert_uid"
"1","1","اقراص","Tablet","1","2/6/2014 8:04:22 PM","1"
"2","2","قرص على شكل كبسول","caplet","1","2/6/2014 8:04:22 PM","1"
"3","3","قرص تحت اللسان","Sublingual tablet","1","2/6/2014 8:04:22 PM","1"
"4","4","أقراص مغلفة","coated tab","1","2/6/2014 8:04:22 PM","1"
"5","5","اقراص فوارة","Effervescent tablet","1","2/6/2014 8:04:22 PM","1"
"6","6","اقراص مضغ","chewable tablet","1","1/3/2016 11:22:10 PM","1"
"7","7","أقراص استحلاب","LOZENGES","1","2/6/2014 8:04:22 PM","1"
"8","8","كبسول","Capsule","1","2/6/2014 8:04:22 PM","1"
"9","9","كبسول طويل المفعول","Spansule","1","2/6/2014 8:04:22 PM","1"
"10","10","شراب","Syrup","1","2/6/2014 8:04:22 PM","1"
"11","11","معلق","Suspension","1","2/6/2014 8:04:22 PM","1"
"12","12","مستحلب","Emulsion","1","2/6/2014 8:04:22 PM","1"
"13","13","محلول","Solution","1","2/6/2014 8:04:22 PM","1"
"14","14","محلول مائي","Aqueous Solution","1","2/6/2014 8:04:22 PM","1"
"15","15","محلول زيتي","Oily Solution","1","2/6/2014 8:04:22 PM","1"
"16","16","محلول رغوي","Foaming Solution","1","2/6/2014 8:04:22 PM","1"
"17","17","محاليل","INFUSIONS","1","2/6/2014 8:04:22 PM","1"
"18","18","سائل","Liquid","1","2/6/2014 8:04:22 PM","1"
"19","19","اكسير","elixir","1","2/6/2014 8:04:22 PM","1"
"20","20","نقط","Drops","1","2/6/2014 8:04:22 PM","1"
"21","21","نقط عين","Eye Drops","1","2/6/2014 8:04:22 PM","1"
"22","22","نقط للأذن","Drops: Ear-Otic","1","2/6/2014 8:04:22 PM","1"
"23","23","نقط للأنف","Drops: Nasal","1","2/6/2014 8:04:22 PM","1"
"24","24","نقط بالفم","Drops: Oral","1","2/6/2014 8:04:22 PM","1"
"25","25","نقط للعين و الأذن","Drops: Eye/Ear","1","2/6/2014 8:04:22 PM","1"
"26","26","نقط للعين والانف","Drops: Eye/Nose","1","2/6/2014 8:04:22 PM","1"
"27","27","زيوت","oils","1","2/6/2014 8:04:22 PM","1"
"28","28","زيت طيار","Volatile Oil","1","2/6/2014 8:04:22 PM","1"
"29","29","زيت ثابت","Fixed Oil","1","2/6/2014 8:04:22 PM","1"
"30","30","زيت شعر","Hair Oil","1","2/6/2014 8:04:22 PM","1"
"31","31","مستخلص","Extract","1","2/6/2014 8:04:22 PM","1"
"32","32","حقن","Injectable","1","2/6/2014 8:04:22 PM","1"
"33","33","امبولات","Ampule","1","2/6/2014 8:04:22 PM","1"
"34","34","حقنة شرجية","Enema","1","2/6/2014 8:04:22 PM","1"
"35","35","سرنجات","SYRING","1","2/6/2014 8:04:22 PM","1"
"36","36","سرنجة جاهزة للحقن","Ready Filled Syringe","1","2/6/2014 8:04:22 PM","1"
"37","37","قسطرة","Parenterals/catheter","1","2/6/2014 8:04:22 PM","1"
"38","38","كانيولا","Cannula","1","2/6/2014 8:04:22 PM","1"
"39","39","ابرة","Needle","1","2/6/2014 8:04:22 PM","1"
"40","40","شكاكة","Lancet","1","2/6/2014 8:04:22 PM","1"
"41","41","ابرة شكاكة","Lancet Needle","1","2/6/2014 8:04:22 PM","1"
"42","42","بودرة","powder","1","2/6/2014 8:04:22 PM","1"
"43","43","بودرة للمحلول","Powder for Reconstitution","1","2/6/2014 8:04:22 PM","1"
"44","44","حبيبات/بودرة فوارة","Effervescents Gran./Powd.","1","2/6/2014 8:04:22 PM","1"
"45","45","بودرة/معجون لاصق للفم","Orahesive powder/paint","1","2/6/2014 8:04:22 PM","1"
"46","46","نشوق","Insufflations","1","2/6/2014 8:04:22 PM","1"
"47","47","لبوس شرجى","SUPPOSITERY","1","2/6/2014 8:04:22 PM","1"
"48","48","لبوس مهبلي","Vaginal Pessaries","1","2/6/2014 8:04:22 PM","1"
"49","49","كريم","Cream","1","2/6/2014 8:04:22 PM","1"
"50","50","كريم للجلد","Skin Creams","1","2/6/2014 8:04:22 PM","1"
"51","51","كريم مهبلى","vaginal cream","1","2/6/2014 8:04:22 PM","1"
"52","52","كريم للوجه","Face cream","1","2/6/2014 8:04:22 PM","1"
"53","53","كريم للشعر","Hair Cream","1","2/6/2014 8:04:22 PM","1"
