"group_id","group_code","group_name_ar","group_name_en","deleted","insert_date","insert_uid"
"1","1","Allergic Rhinit/Sinusitis","Allergic Rhinit/Sinusitis","1","11/7/2021 7:09:12 AM","1"
"2","2","Aloepecia Treatment","Aloepecia Treatment","1","2/6/2014 8:04:24 PM","1"
"3","3","Anabolic","Anabolic","1","2/6/2014 8:04:24 PM","1"
"4","4","Anaemia","Anaemia","1","2/6/2014 8:04:24 PM","1"
"5","5","Anti-Psycotics/Schisophrenia","Anti-Psycotics/Schisophrenia","1","2/6/2014 8:04:24 PM","1"
"6","6","Anorexogenic","Anorexogenic","1","2/6/2014 8:04:24 PM","1"
"7","7","Antacid & Anti-Flatulant","Antacid & Anti-Flatulant","1","2/6/2014 8:04:24 PM","1"
"8","8","Antacid","Antacid","1","2/6/2014 8:04:24 PM","1"
"9","9","Anthelmintic","Anthelmintic","1","2/6/2014 8:04:24 PM","1"
"10","10","Anti-Acne","Anti-Acne","1","2/6/2014 8:04:24 PM","1"
"11","11","Anti-Alzheimer","Anti-Alzheimer","1","2/6/2014 8:04:25 PM","1"
"12","12","Anti-Anaemic","Anti-Anaemic","1","2/6/2014 8:04:25 PM","1"
"13","13","Anti-Angina","Anti-Angina","1","2/6/2014 8:04:25 PM","1"
"14","14","Anti-Arrythmic","Anti-Arrythmic","1","2/6/2014 8:04:25 PM","1"
"15","15","Anti-Biotic","Anti-Biotic","1","2/6/2014 8:04:25 PM","1"
"16","16","Anti-Cancer/Cytotoxic","Anti-Cancer/Cytotoxic","1","2/6/2014 8:04:25 PM","1"
"17","17","Anti-Catarrhal","Anti-Catarrhal","1","2/6/2014 8:04:25 PM","1"
"18","18","Anti-Coagulant","Anti-Coagulant","1","2/6/2014 8:04:25 PM","1"
"19","19","Anti-Dandruff","Anti-Dandruff","1","2/6/2014 8:04:25 PM","1"
"20","20","Anti-Depressant","Anti-Depressant","1","2/6/2014 8:04:25 PM","1"
"21","21","Anti-Diarrhea/Spasmolytic","Anti-Diarrheal & Spasmolytic","1","2/6/2014 8:04:25 PM","1"
"22","22","Anti-Diarrhoel","Anti-Diarrhoel","1","2/6/2014 8:04:25 PM","1"
"23","23","Anti-Disynteric/Amaebic/Paras","Anti-Disynteric/Amaebic/Paras","1","2/6/2014 8:04:25 PM","1"
"24","24","Anti-Dote","Anti-Dote","1","2/6/2014 8:04:25 PM","1"
"25","25","Anti-Dyspepsia","Anti-Dyspepsia","1","2/6/2014 8:04:25 PM","1"
"26","26","Anti-Emetic","Anti-Emetic","1","2/6/2014 8:04:25 PM","1"
"27","27","Anti-Epileptic/Anti-Convulsant","Anti-Epileptic/Anti-Convulsant","1","2/6/2014 8:04:25 PM","1"
"28","28","Anti-Flatulance","Anti-Flatulance","1","2/6/2014 8:04:25 PM","1"
"29","29","Anti-Fungal","Anti-Fungal","1","2/6/2014 8:04:25 PM","1"
"30","30","Anti-Galactorrhoea","Anti-Galactorrhoea","1","2/6/2014 8:04:25 PM","1"
"31","31","Anti-Growth hormone","Anti-Growth hormone","1","2/6/2014 8:04:25 PM","1"
"32","32","Anti-Histaminic/Anti-Allergic","Anti-Histaminic/Anti-Allergic","1","2/6/2014 8:04:25 PM","1"
"33","33","Anti-Hyperthyrodism","Anti-Hyper Thyrodism","1","2/6/2014 8:04:25 PM","1"
"34","34","Anti-Hypertensives","Anti-Hypertensives","1","2/6/2014 8:04:25 PM","1"
"35","35","Anti-Hypothyrodism","Anti-Hypo Thyrodism","1","2/6/2014 8:04:25 PM","1"
"36","36","Anti-Hypotensive","Anti-Hypotension","1","2/6/2014 8:04:25 PM","1"
"37","37","Anti-Infective","Anti-Infective","1","2/6/2014 8:04:25 PM","1"
"38","38","Anti-Inflamatory","anti-inflamatory","1","2/6/2014 8:04:25 PM","1"
"39","39","Anti-Inflamatory/antirheumatic","Anti-Inflamatory/anti-rheumatic","1","2/6/2014 8:04:25 PM","1"
"40","40","Anti-Leprotic","Anti-Leprotic","1","2/6/2014 8:04:25 PM","1"
"41","41","Anti-Malarial","Anti-Malarial","1","2/6/2014 8:04:25 PM","1"
"42","42","Anti-Metabolite","Anti-Metabolite","1","2/6/2014 8:04:25 PM","1"
"43","43","Anti-Neoplastic","Anti-Neoplastic","1","2/6/2014 8:04:25 PM","1"
"44","44","Anti-Oedema","Anti-Oedema","1","2/6/2014 8:04:25 PM","1"
"45","45","Anti-Oxidant","Anti-Oxidant","1","2/6/2014 8:04:25 PM","1"
"46","46","Anti-Parkinsonism","Anti-Parkinsonism","1","2/6/2014 8:04:25 PM","1"
"47","47","Anti-Pyretic & Nasal decongestant","antipyretic,nasaldecongestant","1","2/6/2014 8:04:25 PM","1"
"48","48","Anti-Rh","Anti-Rh","1","2/6/2014 8:04:25 PM","1"
"49","49","Anti-Smoking","Anti-Smoking","1","2/6/2014 8:04:25 PM","1"
"50","50","Anti-Spasmodic","Anti-Spasmodic","1","2/6/2014 8:04:25 PM","1"
"51","51","Anti-Tuberculous","Anti-Tuberculosis","1","2/6/2014 8:04:25 PM","1"
"52","52","Anti-Tussive","Anti-Tussive","1","2/6/2014 8:04:25 PM","1"
"53","53","Anti-Tussive & Expectorant","Anti-Tussive & Expectorant","1","2/6/2014 8:04:25 PM","1"
"54","54","Anti-Viral","Anti-Viral","1","2/6/2014 8:04:25 PM","1"
"55","55","Antiseptic","Antiseptic","1","2/6/2014 8:04:25 PM","1"
"56","56","Anxiolytic","Anxio-Lytic","1","2/6/2014 8:04:25 PM","1"
"57","57","Aphrodisiac/Sexual Tonic","Aphrodisiacs / Sexual Tonic","1","2/6/2014 8:04:25 PM","1"
"58","58","Appetizer","Appetizer","1","2/6/2014 8:04:25 PM","1"
